total_bill,tip,sex,smoker,day,time,size,total_bill_per_person
10.34,1.66,Male,No,Sun,Dinner,3,3.4466666666666668
21.01,3.5,Male,No,Sun,Dinner,3,7.003333333333334
24.59,3.61,Female,No,Sun,Dinner,4,6.1475
25.29,4.71,Male,No,Sun,Dinner,4,6.3225
26.88,3.12,Male,No,Sun,Dinner,4,6.72
35.26,5.0,Female,No,Sun,Dinner,4,8.815
18.43,3.0,Male,No,Sun,Dinner,4,4.6075
10.33,1.67,Female,No,Sun,Dinner,3,3.4433333333333334
16.29,3.71,Male,No,Sun,Dinner,3,5.43
16.97,3.5,Female,No,Sun,Dinner,3,5.656666666666666
20.65,3.35,Male,No,Sat,Dinner,3,6.883333333333333
39.42,7.58,Male,No,Sat,Dinner,4,9.855
17.81,2.34,Male,No,Sat,Dinner,4,4.4525
18.35,2.5,Male,No,Sat,Dinner,4,4.5875
20.69,2.45,Female,No,Sat,Dinner,4,5.1725
24.06,3.6,Male,No,Sat,Dinner,3,8.02
16.31,2.0,Male,No,Sat,Dinner,3,5.4366666666666665
16.93,3.07,Female,No,Sat,Dinner,3,5.6433333333333335
18.69,2.31,Male,No,Sat,Dinner,3,6.23
31.27,5.0,Male,No,Sat,Dinner,3,10.423333333333334
16.04,2.24,Male,No,Sat,Dinner,3,5.346666666666667
30.4,5.6,Male,No,Sun,Dinner,4,7.6
32.4,6.0,Male,No,Sun,Dinner,4,8.1
28.55,2.05,Male,No,Sun,Dinner,3,9.516666666666667
34.81,5.2,Female,No,Sun,Dinner,4,8.7025
25.56,4.34,Male,No,Sun,Dinner,4,6.39
38.01,3.0,Male,Yes,Sat,Dinner,4,9.5025
48.27,6.73,Male,No,Sat,Dinner,4,12.0675
18.29,3.76,Male,Yes,Sat,Dinner,4,4.5725
17.59,2.64,Male,No,Sat,Dinner,3,5.863333333333333
20.08,3.15,Male,No,Sat,Dinner,3,6.6933333333333325
17.07,3.0,Female,No,Sat,Dinner,3,5.69
27.2,4.0,Male,No,Thur,Lunch,4,6.8
34.83,5.17,Female,No,Thur,Lunch,4,8.7075
40.17,4.73,Male,Yes,Fri,Dinner,4,10.0425
44.3,2.5,Female,Yes,Sat,Dinner,3,14.766666666666666
38.07,4.0,Male,No,Sun,Dinner,3,12.69
25.71,4.0,Female,No,Sun,Dinner,3,8.57
29.93,5.07,Male,No,Sun,Dinner,4,7.4825
24.08,2.92,Female,No,Thur,Lunch,4,6.02
29.8,4.2,Female,No,Thur,Lunch,6,4.966666666666667
22.82,2.18,Male,No,Thur,Lunch,3,7.6066666666666665
34.3,6.7,Male,No,Thur,Lunch,6,5.716666666666666
41.19,5.0,Male,No,Thur,Lunch,5,8.238
27.05,5.0,Female,No,Thur,Lunch,6,4.508333333333334
18.64,1.36,Female,No,Thur,Lunch,3,6.213333333333334
17.26,2.74,Male,No,Sun,Dinner,3,5.753333333333334
24.55,2.0,Male,No,Sun,Dinner,4,6.1375
19.77,2.0,Male,No,Sun,Dinner,4,4.9425
29.85,5.14,Female,No,Sun,Dinner,5,5.970000000000001
48.17,5.0,Male,No,Sun,Dinner,6,8.028333333333334
25.0,3.75,Female,No,Sun,Dinner,4,6.25
16.49,2.0,Male,No,Sun,Dinner,4,4.1225
21.5,3.5,Male,No,Sun,Dinner,4,5.375
16.21,2.0,Female,No,Sun,Dinner,3,5.403333333333333
24.52,3.48,Male,No,Sun,Dinner,3,8.173333333333334
31.71,4.5,Male,No,Sun,Dinner,4,7.9275
50.81,10.0,Male,Yes,Sat,Dinner,3,16.936666666666667
34.65,3.68,Male,Yes,Sun,Dinner,4,8.6625
45.35,3.5,Male,Yes,Sun,Dinner,3,15.116666666666667
23.17,6.5,Male,Yes,Sun,Dinner,4,5.7925
20.69,5.0,Male,No,Sun,Dinner,5,4.138
20.9,3.5,Female,Yes,Sun,Dinner,3,6.966666666666666
30.46,2.0,Male,Yes,Sun,Dinner,5,6.0920000000000005
18.15,3.5,Female,Yes,Sun,Dinner,3,6.05
23.1,4.0,Male,Yes,Sun,Dinner,3,7.7
43.11,5.0,Female,Yes,Thur,Lunch,4,10.7775
18.71,4.0,Male,Yes,Thur,Lunch,3,6.236666666666667
20.53,4.0,Male,Yes,Thur,Lunch,4,5.1325
16.47,3.23,Female,Yes,Thur,Lunch,3,5.489999999999999
26.59,3.41,Male,Yes,Sat,Dinner,3,8.863333333333333
38.73,3.0,Male,Yes,Sat,Dinner,4,9.6825
30.06,2.0,Male,Yes,Sat,Dinner,3,10.02
25.89,5.16,Male,Yes,Sat,Dinner,4,6.4725
48.33,9.0,Male,No,Sat,Dinner,4,12.0825
28.17,6.5,Female,Yes,Sat,Dinner,3,9.39
28.15,3.0,Male,Yes,Sat,Dinner,5,5.63
30.14,3.09,Female,Yes,Sat,Dinner,4,7.535
15.98,3.0,Female,No,Fri,Lunch,3,5.326666666666667
20.45,3.0,Male,No,Sat,Dinner,4,5.1125
24.01,2.0,Male,Yes,Sat,Dinner,4,6.0025
15.69,3.0,Male,Yes,Sat,Dinner,3,5.2299999999999995
35.83,4.67,Female,No,Sat,Dinner,3,11.943333333333333
29.03,5.92,Male,No,Sat,Dinner,3,9.676666666666668
